prod_year,prod_year_delta,prod_year_delta_sq,prod_year_delta_cu,cylinders,airbags,levy,manufacturer_class,manufacturer_mean_le,category_mean_le,leather_interior,fuel_type_mean_le,turbo,engine_volume,mileage,mileage_new,gear_box_type_mean_le,wheel_mean_le
2014,6,36.0,216.0,4,8,308.0,1,29,3,1,2,0,1.8,192000.0,0,3,0
1998,22,484.0,10648.0,6,6,781.0,2,33,9,1,0,0,3.2,220000.0,0,2,0
2010,10,100.0,1000.0,4,4,687.0,1,11,9,1,4,0,1.6,140000.0,0,0,0
1997,23,529.0,12167.0,4,4,781.0,2,33,9,0,4,0,2.0,305125.0,0,1,0
2016,4,16.0,64.0,4,4,891.0,2,22,4,1,1,0,2.0,102313.0,0,0,0
2015,5,25.0,125.0,4,8,697.0,2,56,9,0,4,1,1.8,56000.0,0,2,0
2015,5,25.0,125.0,4,4,765.0,2,22,9,1,4,0,2.0,51115.0,0,0,0
2016,4,16.0,64.0,4,12,810.0,2,56,9,1,4,1,1.8,87000.0,0,2,0
2014,6,36.0,216.0,4,4,528.0,2,22,9,1,1,0,1.6,90000.0,0,0,0
1997,23,529.0,12167.0,4,2,781.0,1,39,10,0,0,0,1.6,294271.0,0,1,0
2012,8,64.0,512.0,8,12,1363.0,2,33,4,1,1,0,4.6,180659.0,0,0,0
2015,5,25.0,125.0,4,4,833.0,2,22,4,1,1,0,2.2,132000.0,0,0,0
1998,22,484.0,10648.0,4,2,781.0,1,38,1,0,4,0,1.0,130000.0,0,1,0
2017,3,9.0,27.0,4,4,831.0,3,49,4,1,1,0,1.6,59647.0,0,0,0
1999,21,441.0,9261.0,4,4,781.0,1,39,9,1,4,0,1.6,122231.0,0,1,0
2009,11,121.0,1331.0,6,12,1624.0,2,33,9,1,1,0,3.5,109139.0,0,0,0
2014,6,36.0,216.0,4,6,749.0,2,27,9,0,4,0,2.4,136984.0,0,2,0
2016,4,16.0,64.0,4,4,891.0,2,22,4,1,1,0,2.0,145136.0,0,0,0
1994,26,676.0,17576.0,4,6,781.0,2,16,6,0,1,0,2.5,98521.0,0,1,0
2014,6,36.0,216.0,4,4,777.0,2,22,7,1,1,0,2.5,184700.0,0,0,0
2014,6,36.0,216.0,4,10,777.0,2,53,9,1,4,0,2.5,59000.0,0,2,0
2005,15,225.0,3375.0,4,2,781.0,1,38,9,0,4,0,1.5,12000.0,0,0,1
2013,7,49.0,343.0,4,12,781.0,2,53,9,0,2,0,1.8,70042.0,0,3,0
2013,7,49.0,343.0,4,4,751.0,3,26,4,1,4,0,2.4,135000.0,0,0,0
2015,5,25.0,125.0,8,12,1578.0,2,5,9,1,4,0,4.4,60709.0,0,0,0
2011,9,81.0,729.0,4,0,707.0,2,5,9,1,4,1,2.0,200000.0,0,2,0
2014,6,36.0,216.0,4,12,781.0,2,53,3,0,2,0,1.8,107000.0,0,3,0
2014,6,36.0,216.0,4,12,501.0,2,16,9,1,4,1,1.5,133260.0,0,0,0
2009,11,121.0,1331.0,4,0,781.0,2,16,4,1,2,0,2.5,230000.0,0,3,0
2011,9,81.0,729.0,4,4,707.0,2,22,4,1,1,0,2.0,151186.0,0,0,0
2010,10,100.0,1000.0,4,10,574.0,1,20,9,0,2,0,1.3,100000.0,0,2,0
2008,12,144.0,1728.0,4,8,843.0,1,20,3,0,4,0,1.5,200000.0,0,2,0
2012,8,64.0,512.0,6,0,919.0,2,5,4,1,1,0,3.0,70994.0,0,0,0
